index,pmcid,doi,ncbi_xml_kb,abstract_words,body_words,status,error
1,PMC12700024,10.21470/1678-9741-2024-0234,35.9,99,1799,OK_FULLTEXT,
2,PMC10103020,10.1186/s12902-023-01339-w,61.0,150,1944,OK_FULLTEXT,
3,PMC8642236,,7.5,0,292,OK_FULLTEXT,
4,PMC8195731,,7.1,0,243,OK_FULLTEXT,
5,PMC12849829,,45.8,135,1627,OK_FULLTEXT,
6,PMC12778412,10.1002/ccr3.71818,40.6,40,1331,OK_FULLTEXT,
7,PMC12522166,10.7759/cureus.92353,31.3,144,1456,OK_FULLTEXT,
8,PMC12746173,10.1155/crh/9718800,35.4,178,1185,OK_FULLTEXT,
9,PMC12619769,10.1007/s00277-025-06607-4,59.6,216,2171,OK_FULLTEXT,
10,PMC12620583,10.2147/tacg.s544633,64.0,229,3494,OK_FULLTEXT,
